Name,BSE Code,NSE Code,Industry,Current Price,Sales latest quarter,Profit after tax latest quarter,YOY Quarterly sales growth,YOY Quarterly profit growth,Sales growth,Profit growth,Operating profit latest quarter,Other income latest quarter,EBIDT latest quarter,Depreciation latest quarter,EBIT latest quarter,Interest latest quarter,Profit before tax latest quarter,Tax latest quarter,Extraordinary items latest quarter,Net Profit latest quarter,GPM latest quarter,OPM latest quarter,NPM latest quarter,Equity Capital latest quarter,EPS latest quarter,Operating profit 2quarters back,Operating profit 3quarters back,Sales 2quarters back,Sales 3quarters back,Net profit 2quarters back,Net profit 3quarters back,Operating profit growth,Last result date,Expected quarterly sales growth,Expected quarterly sales,Expected quarterly operating profit,Expected quarterly net profit,Expected quarterly EPS,Sales preceding quarter,Operating profit preceding quarter,Other income preceding quarter,EBIDT preceding quarter,Depreciation preceding quarter,EBIT preceding quarter,Interest preceding quarter,Profit before tax preceding quarter,Tax preceding quarter,Profit after tax preceding quarter,Extraordinary items preceding quarter,Net Profit preceding quarter,OPM preceding quarter,NPM preceding quarter,Equity Capital preceding quarter,EPS preceding quarter,Market Capitalization,join_key
Andrew Yule & Co,526173.0,__NA__,Diversified - Medium / Small,44.6,76.57,-21.6,-5.63,-365.52,-17.16,-476.69,-35.14,8.81,-25.72,2.2,-27.92,4.76,-33.29,-5.49,-0.61,-22.21,37.3,-45.89,-28.21,97.79,-0.45,-12.17,-20.81,87.99,58.58,-5.27,-7.51,-1326.0,202403.0,-15.44,49.53,-15.76,-21.65,-0.44,86.72,-21.31,11.67,-9.64,1.39,-11.03,4.31,-15.34,-2.11,-12.48,0.0,-12.48,-24.57,-14.39,97.79,-0.26,2180.71,526173.0___NA__
Aneri Fincap,531252.0,__NA__,Finance & Investments,6.82,0.01,-33.05,-99.33,-270.52,-48.42,-251.45,-33.05,0.0,-33.05,0.0,-33.05,0.0,-33.05,0.0,0.0,-33.05,100.0,-330500.0,-330500.0,3.01,-109.69,-0.74,-0.02,0.35,0.47,-0.74,-0.02,-251.34,202403.0,145.83,1.16,-637.13,-637.13,-2114.54,0.15,-0.21,0.0,-0.21,0.0,-0.21,0.0,-0.21,0.0,-0.21,0.0,-0.21,-140.0,-140.0,3.01,-0.7,2.05,531252.0___NA__
ANG Lifesciences,540694.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs & Formln,53.4,34.08,-2.28,6.9,54.67,-36.48,-1674.36,3.85,-1.49,4.1,1.83,2.27,3.44,-2.91,0.69,-1.74,-3.6,33.69,11.3,-6.69,13.06,-2.76,1.32,5.67,29.58,50.61,-2.05,1.6,-21.85,202403.0,-28.69,36.09,2.36,-3.57,-2.73,17.1,-1.72,-0.09,-1.81,2.02,-3.83,1.99,-5.82,-1.22,-4.59,0.0,-4.59,-10.06,-26.84,13.06,-3.52,69.73,540694.0___NA__
Angel Fibers,541006.0,__NA__,Textiles - Products,24.0,94.53,3.5,39.43,-67.41,56.75,101.0,2.86,3.23,12.47,5.16,7.31,1.63,5.68,2.18,0.0,-0.5,19.29,6.78,2.57,25.0,-0.2,,,,,,,48.19,202403.0,,,,,,94.73,4.09,2.51,13.8,5.02,8.78,3.09,5.69,-0.19,5.87,0.0,0.54,10.14,5.27,,0.22,60.0,541006.0___NA__
Angel One,543235.0,ANGELONE,Finance & Investments,2549.65,1357.28,339.95,64.37,27.34,42.28,27.54,529.85,1.25,531.11,16.69,514.42,55.64,458.77,118.83,-0.01,339.94,100.0,39.04,25.05,84.01,40.47,443.4,320.3,1047.9,807.5,304.5,220.8,30.67,202403.0,44.17,1164.2,461.65,391.51,43.47,1059.05,397.96,1.78,399.76,13.09,386.67,35.63,351.02,90.71,260.33,-0.02,260.31,37.58,24.58,83.9,31.01,22961.66,543235.0_ANGELONE
ANI Integrated,-1.0,AISL,Miscellaneous,133.0,52.91,1.93,22.02,4.32,18.96,119.84,3.48,0.15,3.63,0.44,3.19,1.01,2.18,0.25,0.0,1.93,92.55,6.58,3.65,9.69,1.99,2.17,1.42,46.84,41.2,1.38,0.67,148.59,202403.0,19.06,49.05,2.23,0.94,0.97,46.55,2.64,0.33,2.96,0.27,2.69,0.92,1.78,0.1,1.66,0.01,1.67,5.67,3.57,9.69,1.72,128.84,-1.0_AISL
Anik Industries,519383.0,ANIKINDS,Construction,51.3,56.34,-3.13,255.91,-7725.0,-14.82,-46.71,-3.42,3.88,0.46,0.14,0.32,-0.02,0.34,3.47,0.0,-3.13,-1.03,-6.07,-5.56,27.75,-1.13,-0.51,4.33,14.88,18.04,-0.48,3.63,18.01,202403.0,119.52,39.6,4.11,3.7,1.33,11.35,-0.03,0.45,0.42,0.14,0.28,0.0,0.28,-0.01,0.29,0.0,0.29,-0.26,2.56,27.75,0.1,142.36,519383.0_ANIKINDS
Anjani Finance,531878.0,__NA__,Finance & Investments,13.48,0.11,0.02,173.33,-99.39,-38.57,-90.7,0.06,0.05,0.11,0.0,0.11,0.03,0.08,0.05,0.0,0.02,100.0,54.55,18.18,10.14,0.02,0.19,0.12,0.25,0.31,0.3,0.24,-80.97,202403.0,23.47,0.38,0.2,0.17,0.17,0.2,0.13,0.07,0.2,0.0,0.2,0.03,0.17,0.08,0.09,0.0,0.09,65.0,45.0,10.14,0.09,13.67,531878.0___NA__
Anjani Foods,511153.0,__NA__,Food - Processing - Indian,44.06,12.7,0.27,13.19,68.75,5.59,44.71,1.09,0.03,1.12,0.44,0.68,0.2,0.48,0.21,0.0,0.27,48.9,8.58,2.13,5.59,0.13,1.23,0.81,13.78,11.57,0.52,0.16,17.71,202403.0,5.78,12.24,0.93,0.32,0.11,13.55,0.99,0.01,1.0,0.47,0.53,0.14,0.39,0.11,0.26,0.0,0.28,7.31,2.07,5.59,0.09,123.14,511153.0___NA__
Anjani Portland,518091.0,APCL,Cement - South India,202.0,157.88,-4.39,18.75,73.79,-5.68,32.96,10.25,0.0,10.25,12.34,-2.09,7.93,-10.02,-5.46,0.0,-4.56,35.52,6.49,-2.89,29.37,-1.49,3.47,3.6,143.49,155.55,-15.29,-13.54,34.42,202403.0,-2.39,151.83,5.75,-13.89,-4.55,166.98,11.49,0.27,11.76,12.04,-0.28,8.1,-8.38,-2.44,-5.93,0.0,-5.94,6.88,-3.56,29.37,-2.02,593.36,518091.0_APCL
Anjani Synth.,531223.0,__NA__,Textiles - Processing,49.89,63.93,1.69,-21.52,43.22,-22.53,23.12,1.69,1.44,3.13,0.67,2.46,1.06,1.4,-0.29,0.0,1.69,26.76,2.64,2.64,14.75,1.15,2.44,2.29,72.22,58.43,0.9,0.71,-7.48,202403.0,-12.11,51.35,1.95,0.37,0.25,59.66,2.98,0.07,3.05,0.66,2.39,1.22,1.17,0.21,0.95,0.0,0.95,4.99,1.59,14.75,0.64,73.57,531223.0___NA__
Anka India,531673.0,__NA__,Computers - Software - Medium / Small,15.49,0.0,0.1,,350.0,,347.06,-0.04,0.14,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,,,,9.98,0.11,-0.02,-0.06,0.0,0.0,0.27,-0.06,36.36,202403.0,,,,,,0.0,-0.02,0.14,0.12,0.0,0.12,0.0,0.12,0.0,0.12,0.0,0.12,,,8.74,0.14,13.54,531673.0___NA__
Ankit Met.Power,532870.0,ANKITMETAL,Steel - Medium / Small,3.95,146.87,-76.06,-25.51,-76.27,-1.48,-310.27,-66.53,0.0,-66.53,9.53,-76.06,0.0,-76.06,0.0,0.0,-76.06,-20.19,-45.3,-51.79,141.11,-5.39,-44.77,-22.38,202.91,262.32,-53.17,-30.56,-752.22,202312.0,0.58,263.85,-61.05,-73.17,-5.19,205.9,-94.46,6.92,-87.54,9.36,-96.9,0.1,-97.0,0.0,-97.0,0.0,-97.0,-45.88,-47.11,141.11,-6.87,55.73,532870.0_ANKITMETAL
Anlon Tech,-1.0,ANLON,Miscellaneous,560.0,17.43,1.87,12.29,49.6,6.48,1.8,3.09,0.05,2.94,0.05,2.89,0.26,2.63,0.76,0.0,2.3,81.76,27.03,17.49,5.61,4.1,1.92,,8.28,,1.37,,-12.22,202403.0,,,,,,17.59,3.23,0.09,0.67,0.05,0.62,0.36,0.26,0.08,0.18,0.0,2.22,6.44,2.0,,3.96,350.3,-1.0_ANLON
Anmol India,542437.0,ANMOL,Trading,35.24,402.88,3.91,8.85,-11.74,6.45,12.0,2.42,4.72,7.14,0.12,7.02,1.48,5.54,1.63,0.0,3.91,0.87,0.6,0.97,56.91,0.69,7.36,12.89,214.19,480.16,3.35,9.19,0.84,202403.0,11.01,533.04,12.05,9.8,1.72,404.01,5.95,2.77,8.72,0.13,8.59,2.64,5.95,1.5,4.45,0.0,4.45,1.47,1.1,56.91,0.78,200.56,542437.0_ANMOL
Anna Infrastruct,530799.0,__NA__,Construction,28.73,0.21,0.07,-27.59,-22.22,48.67,160.87,0.03,0.07,0.1,0.02,0.08,0.0,0.08,0.01,0.0,0.07,57.14,14.29,33.33,3.8,0.18,0.5,0.22,0.95,0.46,0.36,0.15,111.76,202403.0,210.93,1.43,0.53,0.39,1.03,0.09,0.01,0.03,0.04,0.02,0.02,0.0,0.02,0.0,0.01,0.0,0.01,11.11,11.11,3.8,0.03,10.92,530799.0___NA__
Annapurna Swadi.,-1.0,ANNAPURNA,Food - Processing - Indian,340.0,133.84,1.31,,,65.92,99.16,15.08,0.06,2.23,0.34,1.89,0.14,1.75,0.44,0.0,7.65,30.18,7.49,4.52,11.54,4.35,,,,,,,114.44,202403.0,,,,,,131.14,12.99,,,,,,,,,,6.56,,,,3.77,598.05,-1.0_ANNAPURNA
ANS Industries,531406.0,__NA__,Food - Processing - Indian,11.18,0.0,0.31,,188.57,,74.66,-0.15,0.64,0.49,0.11,0.38,0.0,0.38,0.06,0.0,0.31,,,,9.26,0.33,-0.12,-0.13,0.0,0.0,-0.22,-0.23,8.93,202403.0,,,,,,0.0,-0.13,0.01,-0.12,0.11,-0.23,0.0,-0.23,0.0,-0.24,0.0,-0.24,,,9.26,-0.26,10.35,531406.0___NA__
Ansal Buildwell,523007.0,__NA__,Construction,123.9,2.79,-5.02,-38.82,-356.36,26.63,616.37,-1.99,0.89,-1.1,0.47,-1.57,1.35,-2.92,4.81,0.0,-5.02,68.82,-71.33,-179.93,7.38,-6.8,5.26,-1.77,11.73,2.57,6.62,-3.26,573.65,202403.0,199.4,7.69,-2.08,-4.32,-5.85,24.28,17.16,0.61,17.77,0.58,17.19,0.94,16.25,0.03,16.09,0.0,16.09,70.68,66.27,7.38,21.79,91.44,523007.0___NA__
Ansal Housing,507828.0,__NA__,Construction,14.8,146.78,14.18,191.58,920.14,86.02,132.79,17.91,6.12,18.54,0.42,18.12,16.42,7.19,-12.48,5.49,19.67,24.04,12.2,9.66,69.64,2.82,21.38,12.23,130.91,78.27,-0.81,-4.33,128.57,202403.0,105.06,160.5,24.35,7.19,1.03,108.62,16.97,1.37,18.34,0.42,17.92,16.82,1.1,7.7,-6.59,0.0,-6.59,15.62,-6.07,69.64,-0.95,103.07,507828.0___NA__
Ansal Properties,500013.0,ANSALAPI,Construction,9.5,189.9,-30.9,-35.95,89.99,0.44,89.33,-32.08,3.38,-28.7,9.18,-37.88,2.78,-40.66,-7.64,0.0,-33.02,25.09,-16.89,-17.39,78.7,-1.96,-0.58,-7.58,108.93,161.63,-29.01,-10.91,98.51,202403.0,3.31,166.97,-2.0,-15.45,-0.92,137.05,33.31,1.59,34.9,3.47,31.43,4.14,27.29,0.8,26.32,0.0,26.49,24.3,19.33,78.7,1.67,149.52,500013.0_ANSALAPI
Antarctica,-1.0,ANTGRAPHIC,Packaging,1.5,0.21,-0.23,0.0,-387.5,23.53,-370.0,-0.22,0.0,-0.22,0.01,-0.23,0.0,-0.23,0.0,0.0,-0.23,57.14,-104.76,-109.52,15.5,-0.01,-0.05,-0.04,0.22,0.17,-0.09,-0.04,,202403.0,28.22,0.22,-0.08,-0.11,-0.01,0.24,-0.03,0.0,-0.03,0.04,-0.07,0.0,-0.07,0.0,-0.07,0.0,-0.07,-12.5,-29.17,15.5,0.0,23.26,-1.0_ANTGRAPHIC
Antony Waste han,543254.0,AWHCL,Miscellaneous,542.4,210.18,27.5,4.17,187.66,2.02,25.34,36.15,7.35,43.5,16.39,27.11,14.2,12.91,-17.25,0.0,30.16,99.95,17.2,14.35,14.18,9.69,51.13,46.88,224.26,221.99,31.5,22.61,20.37,202403.0,2.68,227.94,46.99,18.85,6.05,217.15,44.15,5.58,49.73,15.11,34.62,11.44,23.18,7.56,12.8,0.0,15.61,20.33,7.19,14.14,4.51,1539.45,543254.0_AWHCL
Anuh Pharma,506260.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs,227.25,163.89,15.36,4.18,59.67,22.66,82.33,19.22,2.82,22.04,2.23,19.81,0.1,19.71,4.36,0.0,15.36,26.38,11.73,9.37,25.06,3.07,17.96,13.97,149.53,161.48,13.83,11.75,45.03,202403.0,24.05,200.32,21.24,18.42,3.68,172.1,23.99,3.66,27.65,2.2,25.45,0.14,25.31,6.19,19.11,0.0,19.11,13.94,11.1,25.06,3.81,1138.81,506260.0___NA__
Anupam Finserv,530109.0,__NA__,Finance & Investments,2.01,0.78,0.21,13.04,23.53,25.3,-2.08,0.46,0.0,0.46,0.11,0.35,0.05,0.3,0.09,0.0,0.21,100.0,58.97,26.92,11.56,0.02,0.52,0.39,0.75,0.76,0.2,0.15,0.0,202403.0,30.43,0.99,0.59,0.36,0.03,0.89,0.68,0.0,0.68,0.12,0.56,0.09,0.47,0.09,0.38,0.0,0.38,76.4,42.7,11.56,0.03,23.23,530109.0___NA__
Anupam Rasayan,543275.0,ANURAS,Chemicals,766.45,401.01,30.91,-16.45,-45.47,-7.92,-28.89,92.68,12.04,104.72,20.75,83.97,26.07,57.9,17.44,0.0,40.47,53.14,23.11,10.09,109.79,2.82,107.48,101.42,392.15,386.39,48.7,52.25,-11.76,202403.0,-6.19,362.47,94.26,48.12,3.35,295.52,79.08,2.38,81.46,20.43,61.03,25.13,35.9,9.88,18.41,0.0,26.02,26.76,8.8,107.62,1.68,8414.55,543275.0_ANURAS
Anuroop Packagin,542865.0,__NA__,Packaging,23.39,14.89,1.91,189.13,189.39,27.81,50.0,2.46,0.73,3.19,0.48,2.71,0.65,2.06,0.15,0.0,1.91,53.79,16.52,12.83,10.66,1.79,1.71,0.87,5.43,2.25,0.85,0.55,44.55,202403.0,73.37,3.9,1.26,0.45,0.42,7.53,2.2,0.07,2.27,0.19,2.08,0.34,1.74,0.42,1.31,0.0,1.31,29.22,17.4,10.66,1.23,24.94,542865.0___NA__
Anzen IYEP Trust,543655.0,ANZEN,Power Generation And Supply,101.8,62.26,-8.89,-0.62,0.34,167.61,19.78,53.82,0.05,53.87,46.58,7.29,15.87,-8.58,0.31,0.0,-8.89,100.0,86.44,-14.28,1562.48,-0.56,55.88,55.26,62.71,62.88,-6.92,-7.1,180.3,202403.0,,,,,,62.83,56.41,0.14,56.55,47.07,9.48,16.03,-6.55,0.28,-6.82,0.0,-6.82,89.78,-10.85,,-0.43,1608.44,543655.0_ANZEN
Apar Inds.,532259.0,APARINDS,Electric Equipment,8577.35,4455.11,236.22,9.08,-2.68,12.55,29.41,421.35,32.82,454.17,31.47,422.7,101.08,321.62,85.4,0.0,236.22,22.77,9.46,5.3,40.17,58.81,349.26,346.12,3925.46,3773.01,173.88,197.43,20.1,202403.0,13.26,4273.16,398.67,266.31,66.3,4008.53,404.97,21.0,425.97,28.84,397.13,112.82,284.31,66.73,217.58,0.0,217.58,10.1,5.43,38.27,54.17,34453.77,532259.0_APARINDS
Apcotex Industri,523694.0,APCOTEXIND,Miscellaneous,442.3,310.58,15.31,21.27,-34.04,4.13,-50.02,31.32,2.08,33.4,8.12,25.28,3.86,21.42,6.1,0.0,15.31,30.31,10.08,4.93,10.37,2.95,31.66,25.5,279.24,277.73,15.31,12.12,-28.12,202403.0,5.44,292.84,28.74,16.58,3.2,257.0,25.48,1.97,27.45,8.23,19.22,3.81,15.41,4.27,11.13,0.0,11.13,9.91,4.33,10.37,2.15,2293.1,523694.0_APCOTEXIND
Apeejay Surrend.,544111.0,PARKHOTELS,Hotels,180.5,155.68,18.43,8.05,73.87,14.39,42.65,53.61,0.11,53.72,12.57,41.15,14.81,26.34,7.91,0.0,18.43,87.04,34.44,11.84,17.47,0.86,44.32,,134.92,,14.82,,21.07,202403.0,,,,,,158.88,55.89,4.73,60.62,14.08,46.54,17.85,28.69,1.27,27.42,0.0,27.42,35.18,17.26,,1.57,3851.4,544111.0_PARKHOTELS
Apex Frozen Food,540692.0,APEX,Aquaculture,225.7,161.64,-0.36,-23.7,91.04,-24.87,-58.8,1.35,1.49,2.84,0.92,1.92,2.41,-0.49,-0.13,0.0,-0.36,28.53,0.84,-0.22,31.25,-0.12,18.56,12.9,240.52,253.84,8.34,3.65,-50.34,202403.0,-22.06,197.85,9.73,3.78,1.21,148.1,8.45,0.52,8.97,3.45,5.52,1.93,3.59,0.62,2.97,0.0,2.97,5.71,2.01,31.25,0.95,705.34,540692.0_APEX
Apis India,506166.0,__NA__,Food - Processing - Indian,230.75,79.02,2.97,2.58,-48.17,-4.78,78.56,5.8,0.31,6.11,0.72,5.39,1.67,3.72,2.04,0.0,2.97,45.9,7.34,3.76,5.51,5.39,7.32,8.35,79.08,78.92,5.05,8.92,53.57,202403.0,-2.95,76.59,8.26,6.0,10.89,79.09,12.95,0.15,13.1,0.47,12.63,1.04,11.59,0.03,15.62,0.0,15.62,16.37,19.75,5.51,28.35,127.15,506166.0___NA__
APL Apollo Tubes,533758.0,APLAPOLLO,Steel - Large,1622.55,4765.74,170.44,7.55,-15.55,12.08,13.99,280.37,18.57,298.94,46.59,252.35,31.13,221.22,50.78,0.0,170.44,13.28,5.88,3.58,55.51,6.14,325.01,307.24,4630.4,4544.9,202.87,193.62,16.59,202403.0,13.52,5159.3,342.87,260.81,9.4,4177.76,279.55,15.02,294.57,47.08,247.49,28.5,218.99,53.48,165.51,0.0,165.51,6.69,3.96,55.47,5.96,45029.76,533758.0_APLAPOLLO
Aplab,517096.0,__NA__,Electronics - Components,95.99,17.61,1.12,-4.76,-82.14,-3.77,-39.41,1.73,-0.03,2.33,0.12,2.21,1.09,0.49,0.0,-0.63,0.49,52.75,9.82,6.36,11.09,0.44,1.54,0.77,10.88,9.11,0.14,0.02,-26.89,202403.0,-3.22,8.82,0.79,-0.39,-0.35,11.93,0.5,0.05,0.55,0.08,0.47,0.33,0.14,0.0,0.14,0.0,0.14,4.19,1.17,11.09,0.13,106.46,517096.0___NA__
APM Industries,523537.0,__NA__,Textiles - Spinning - Synthetic / Blended,58.5,62.52,0.77,-20.29,-68.95,-16.82,-80.39,1.12,0.45,1.57,1.93,-0.36,0.68,-1.04,-1.81,0.0,0.77,45.65,1.79,1.23,4.32,0.36,3.98,3.38,84.61,77.78,1.39,0.82,-66.47,202403.0,-16.76,64.74,2.69,0.34,0.16,74.94,4.05,0.15,4.2,1.91,2.29,0.59,1.7,0.51,1.19,0.0,1.19,5.4,1.59,4.32,0.55,126.43,523537.0___NA__
Apollo Finvest,512437.0,__NA__,Finance & Investments,853.2,6.94,0.76,-1.14,-67.24,-55.0,-20.54,1.27,0.06,1.33,0.03,1.3,0.0,1.3,0.53,0.0,0.76,100.0,18.3,10.95,3.73,2.04,2.69,2.85,3.85,4.57,1.96,2.79,-30.36,202403.0,-41.17,2.69,1.49,1.37,3.66,4.61,2.64,0.05,2.69,0.04,2.65,0.2,2.45,-0.06,2.51,0.0,2.51,57.27,54.45,3.73,6.73,318.41,512437.0___NA__
Apollo Hospitals,508869.0,APOLLOHOSP,Healthcare,6130.1,4943.9,253.8,14.92,75.64,14.73,10.71,640.5,36.7,677.2,189.7,487.5,119.3,368.2,109.8,0.0,258.4,48.51,12.96,5.23,71.9,17.65,627.5,509.0,4846.9,4417.8,248.8,173.4,15.79,202403.0,14.74,5068.85,617.71,314.54,21.49,4850.6,613.7,29.2,642.9,167.0,475.9,112.6,363.3,108.9,245.3,0.0,254.4,12.65,5.24,71.9,17.06,88141.43,508869.0_APOLLOHOSP
Apollo Micro Sys,540879.0,APOLLO,Electronics - Components,108.55,135.44,13.13,26.76,55.38,24.91,48.48,28.76,1.15,29.91,3.15,26.76,8.3,18.46,5.33,0.0,13.13,28.86,21.23,9.69,28.24,0.47,18.37,12.74,87.16,57.69,6.62,1.81,30.27,202403.0,28.64,74.21,16.68,5.94,0.2,91.34,24.0,0.7,24.7,2.83,21.87,7.3,14.57,4.45,10.11,0.0,10.11,26.28,11.07,23.3,0.36,3244.19,540879.0_APOLLO
Apollo Pipes,531761.0,APOLLOPIPE,Plastics Products,633.55,245.79,6.52,-2.44,-56.62,6.85,77.87,24.91,0.33,25.24,8.34,16.9,1.48,15.42,8.91,0.0,6.52,26.93,10.13,2.65,39.35,1.66,24.14,26.17,249.45,260.33,12.92,13.92,39.01,202403.0,8.21,281.71,27.73,17.57,4.25,221.56,20.13,1.09,21.22,7.5,13.72,1.39,12.33,3.25,9.08,0.0,9.08,9.09,4.1,39.33,2.31,2619.94,531761.0_APOLLOPIPE
Apollo Sindoori,-1.0,APOLSINHOT,Hotels,1486.1,135.3,1.72,0.64,-15.69,41.53,8.11,4.6,3.88,8.48,2.04,6.44,1.97,4.47,2.75,0.0,1.72,73.46,3.4,1.27,1.3,6.61,5.63,7.01,127.59,121.04,1.8,3.83,45.75,202403.0,55.46,188.17,9.5,4.7,18.07,135.48,6.92,2.16,9.08,1.91,7.17,2.13,5.04,1.32,3.72,0.0,3.72,5.11,2.75,1.3,14.31,386.45,-1.0_APOLSINHOT
Apollo Tyres,500877.0,APOLLOTYRE,Tyres,540.85,6258.2,377.22,0.17,-3.94,3.3,64.31,1028.0,37.63,1102.43,387.98,714.45,114.64,563.01,208.92,-36.8,354.08,47.23,16.43,6.03,63.51,5.58,1159.82,1051.45,6279.57,6244.58,474.25,396.91,33.43,202403.0,3.34,6453.05,1115.59,622.92,9.81,6595.37,1208.09,3.35,1226.54,367.62,858.92,123.04,720.78,224.16,507.04,-15.1,496.63,18.32,7.69,63.51,7.82,34349.45,500877.0_APOLLOTYRE
Apoorva Leasing,539545.0,__NA__,Finance & Investments,33.99,0.75,-0.28,-17.58,-180.0,-27.42,-1.52,0.31,-0.64,-0.33,0.06,-0.39,0.0,-0.39,-0.1,0.0,-0.28,100.0,41.33,-37.33,19.97,-0.14,0.79,0.66,0.97,0.94,0.84,0.49,-7.83,202403.0,-20.9,0.74,0.51,0.5,0.25,1.02,0.83,0.36,1.19,0.0,1.19,0.0,1.19,0.3,0.89,0.0,0.89,81.37,87.25,19.97,0.45,67.9,539545.0___NA__
Apt Packaging,506979.0,__NA__,Plastics Products,40.02,3.15,0.17,-29.84,-41.38,-10.62,-42.37,-0.76,0.09,-0.67,0.02,-0.69,-0.85,0.16,-0.01,0.0,0.17,40.32,-24.13,5.4,5.26,0.32,-0.21,-0.53,3.73,2.37,-0.88,-1.36,-337.84,202403.0,-8.69,2.16,-0.37,-0.4,-0.76,3.42,-0.17,0.63,0.46,0.35,0.11,0.54,-0.43,0.0,-0.43,0.0,-0.43,-4.97,-12.57,5.8,-0.82,21.06,506979.0___NA__
Aptech,532475.0,APTECHT,Computers - Education,218.8,104.06,4.35,-41.69,-86.96,-4.26,-49.82,4.78,1.97,9.39,2.39,7.0,0.33,4.03,1.27,-2.64,2.75,99.7,4.59,4.18,57.99,0.47,13.6,13.88,109.32,122.78,11.43,8.11,-45.86,202403.0,21.32,148.95,14.89,11.65,2.01,100.64,9.09,2.44,12.6,2.12,10.48,0.31,9.1,2.34,7.48,-1.07,6.75,9.03,7.43,57.98,1.16,1268.89,532475.0_APTECHT
Aptus Value Hou.,543335.0,APTUS,Finance - Housing,342.15,374.54,164.03,25.47,21.23,24.86,21.65,309.26,16.61,325.87,2.33,323.54,108.52,215.02,51.0,0.0,164.03,100.0,82.57,43.8,99.78,3.29,277.46,260.87,333.58,305.63,148.02,142.26,26.23,202403.0,24.88,381.67,321.32,209.71,4.2,351.42,292.76,13.23,305.99,2.4,303.59,98.45,205.14,47.56,157.59,0.0,157.59,83.31,44.84,99.74,3.16,17072.38,543335.0_APTUS
Arabian Petrol.,-1.0,ARABIAN,Chemicals,84.2,143.74,,,,7.89,54.94,6.09,,,,,,,,,3.34,,,,,3.07,,,,,,,49.73,202403.0,,,,,,118.12,6.92,,,,,,,,,,3.46,,,,4.32,91.71,-1.0_ARABIAN
Aravali Sec,512344.0,__NA__,Finance & Investments,6.41,0.0,-0.09,,-400.0,-60.0,-37.5,-0.21,0.21,0.0,0.01,-0.01,0.08,-0.09,0.0,0.0,-0.09,,,,15.15,-0.06,-0.17,-0.23,0.0,0.0,-0.09,-0.15,-8.33,202403.0,,,,,,0.0,-0.19,0.21,0.02,0.01,0.01,0.12,-0.11,0.0,-0.11,0.0,-0.11,,,15.15,-0.07,9.71,512344.0___NA__
Arcee Industries,520121.0,__NA__,Steel - Medium / Small,6.1,0.06,-0.25,-98.26,-256.25,-94.99,39.67,-0.37,0.17,-0.2,0.04,-0.24,0.0,-0.24,0.0,0.0,-0.25,16.67,-616.67,-416.67,5.14,-0.49,-0.09,-0.15,0.16,0.82,-0.14,-0.2,52.74,202403.0,-90.51,0.08,-0.15,-0.18,-0.35,0.02,-0.09,0.0,-0.09,0.01,-0.1,0.0,-0.1,0.0,-0.1,0.0,-0.1,-450.0,-500.0,5.14,-0.19,3.14,520121.0___NA__
Archean Chemical,543657.0,ACI,Chemicals,679.95,283.39,59.64,-25.89,-56.41,-7.74,-19.84,88.11,13.83,101.94,17.47,84.47,2.17,82.3,22.66,0.0,59.64,103.01,31.09,21.05,24.68,4.83,95.59,134.75,290.47,343.09,66.35,94.17,-26.8,202403.0,-5.37,324.66,117.52,97.62,7.91,412.63,145.89,10.09,155.98,17.6,138.38,2.44,135.94,33.74,102.19,0.0,102.19,35.36,24.77,24.61,8.28,8390.37,543657.0_ACI
Archidply Decor,543231.0,ADL,Miscellaneous,92.85,14.79,0.15,-13.56,25.0,-5.27,-95.89,2.18,0.32,2.5,0.87,1.63,0.75,0.88,0.72,0.0,0.15,32.93,14.74,1.01,5.57,0.27,0.79,-0.18,13.0,7.57,0.22,-0.46,19.86,202403.0,-3.12,7.33,0.24,-0.77,-1.39,11.89,0.66,0.34,1.0,0.3,0.7,0.53,0.17,0.06,0.11,0.0,0.11,5.55,0.93,5.57,0.2,51.7,543231.0_ADL
Archidply Inds.,532994.0,ARCHIDPLY,Miscellaneous,100.0,121.39,0.43,6.4,-83.2,4.38,-42.14,6.12,0.8,6.92,1.67,5.25,2.09,3.16,2.72,0.0,0.43,27.66,5.04,0.35,19.87,0.22,6.34,5.34,109.09,100.47,2.89,2.31,-10.16,202403.0,3.39,103.88,5.27,2.12,1.06,104.72,3.79,1.2,4.99,0.94,4.05,1.94,2.11,0.65,1.46,0.0,1.46,3.62,1.39,19.87,0.73,198.65,532994.0_ARCHIDPLY
Archies,532212.0,ARCHIES,Trading,26.6,21.8,-8.62,5.47,-453.28,-6.73,-403.68,-5.83,0.56,-5.27,2.32,-7.59,1.22,-8.81,-0.19,0.0,-8.62,25.96,-26.74,-39.54,6.76,-2.55,3.06,0.85,22.19,15.01,1.12,-1.37,-74.9,202403.0,-5.96,14.12,0.52,-2.36,-0.7,21.06,3.82,0.77,4.59,2.32,2.27,1.29,0.98,0.33,0.65,0.0,0.65,18.14,3.09,6.76,0.19,89.85,532212.0_ARCHIES
