Name,BSE Code,NSE Code,Industry,Current Price,Operating profit preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization,join_key
Eraaya Lifespace,531035.0,__NA__,Finance & Investments,833.0,-0.11,0.2,0.12,0.05,0.17,0.0,0.17,0.03,0.14,0.0,0.14,0.0,0.14,60.0,70.0,1.47,0.95,1259.75,531035.0___NA__
ERIS Lifescience,540596.0,ERIS,Pharmaceuticals - Indian - Formulations,1037.1,175.51,402.8,118.9,1.0,119.9,35.13,84.77,8.87,75.9,14.42,61.48,0.0,61.48,29.52,15.26,13.59,4.81,14110.02,540596.0_ERIS
Eros Intl.Media,533261.0,EROSMEDIA,Entertainment / Electronic Media Software,19.44,23.71,14.16,-49.65,19.3,-30.35,1.65,-32.0,19.22,-51.22,0.36,-50.82,0.0,-51.58,-350.64,-364.27,,-5.3,186.44,533261.0_EROSMEDIA
ERP Soft Systems,530909.0,__NA__,Computers - Software - Medium / Small,128.9,0.04,4.88,0.15,0.0,0.15,0.01,0.14,0.0,0.14,0.04,0.1,0.0,0.1,3.07,2.05,3.96,0.25,51.04,530909.0___NA__
Esaar (India),531502.0,__NA__,Finance & Investments,7.11,-1.16,3.96,3.56,2.12,5.68,0.01,5.67,2.26,3.41,0.48,2.93,0.0,2.93,89.9,73.99,20.44,1.43,14.52,531502.0___NA__
Esab India,500133.0,ESABINDIA,Electrodes - Welding Equipment,6188.75,53.7,301.68,56.71,3.01,59.72,3.16,56.56,0.11,56.45,14.59,41.86,0.0,41.86,18.8,13.88,15.39,27.19,9524.48,500133.0_ESABINDIA
ESAF Small Fin,544020.0,ESAFSFB,Banks - Private Sector,53.92,407.28,773.8,317.11,94.02,411.13,0.0,411.13,274.91,136.22,34.84,101.38,0.0,101.38,40.98,13.1,,2.26,2775.69,544020.0_ESAFSFB
Esconet,-1.0,ESCONET,Computers - Software - Medium / Small,298.6,5.16,,,,,,,,,,,,,,,,,369.07,-1.0_ESCONET
Escorp Asset Mgt,540455.0,__NA__,Finance & Investments,73.55,16.52,1.81,1.53,,,,,,,,,,1.5,,,,1.35,81.76,540455.0___NA__
Escorts Kubota,500495.0,ESCORTS,Automobiles - Tractors,4175.65,314.37,2214.48,233.16,86.46,319.62,38.37,281.25,3.63,277.62,61.16,216.46,0.0,216.46,10.53,9.77,131.94,16.41,46140.2,500495.0_ESCORTS
Esha Media,531259.0,__NA__,Miscellaneous,11.9,0.01,0.01,-0.05,0.0,-0.05,0.0,-0.05,0.0,-0.05,0.0,-0.05,0.0,-0.05,-500.0,-500.0,8.3,-0.06,9.29,531259.0___NA__
Espire Hospi,532016.0,__NA__,Hotels,99.0,2.1,8.08,1.32,-0.21,1.11,0.78,0.33,0.3,0.03,0.19,-0.17,0.0,-0.17,16.34,-2.1,13.5,-0.13,133.65,532016.0___NA__
Essar Shipping,533704.0,ESSARSHPNG,Shipping,49.59,-16.53,13.73,8.52,327.78,22.05,3.63,18.42,-43.51,376.18,-0.87,49.18,314.25,363.43,62.05,358.19,206.98,17.56,1026.42,533704.0_ESSARSHPNG
Essen Speciality,-1.0,ESFL,Plastics Products,180.1,7.02,36.11,6.9,0.75,7.65,0.94,6.71,0.61,6.1,-1.22,7.32,0.0,7.32,19.11,20.27,,4.57,372.79,-1.0_ESFL
Ester Industries,500136.0,ESTER,Packaging,115.7,-19.5,294.66,9.99,-1.34,8.65,14.49,-5.84,13.79,-19.63,-1.87,-17.75,0.0,-17.75,3.39,-6.02,41.7,-2.13,1087.04,500136.0_ESTER
Ethos Ltd,543532.0,ETHOSLTD,Trading,2796.05,44.54,207.57,25.5,5.21,30.71,9.47,21.24,3.48,17.76,4.47,13.28,0.0,13.28,12.29,6.4,19.08,5.69,6844.85,543532.0_ETHOSLTD
ETT Ltd,537707.0,__NA__,Construction,22.69,-0.11,0.06,-0.04,0.71,0.61,0.0,0.61,0.0,0.67,0.12,0.5,0.06,0.55,-66.67,833.33,10.37,0.53,23.54,537707.0___NA__
Euphoria Infotec,544094.0,__NA__,Computers - Software - Medium / Small,65.01,1.05,,,,,,,,,,,,,,,,,18.86,544094.0___NA__
Eureka Forbes,543482.0,__NA__,Domestic Appliances,484.95,42.17,508.14,47.39,-5.15,51.37,12.92,38.45,3.49,25.83,9.54,21.78,-9.13,16.28,9.33,4.29,193.48,0.84,9378.51,543482.0___NA__
Eureka Industrie,521137.0,__NA__,Textiles - Cotton/Blended,4.53,-2.02,0.25,-1.73,0.01,-1.72,0.0,-1.72,0.0,-1.72,-0.34,-1.38,0.0,-1.38,-692.0,-552.0,8.75,-1.58,3.96,521137.0___NA__
Euro Asia Export,530929.0,__NA__,Trading,16.27,0.01,0.09,0.08,-0.02,0.06,0.0,0.06,0.0,0.06,0.01,0.04,0.0,0.04,88.89,44.44,2.38,0.25,2.55,530929.0___NA__
Euro India Fresh,-1.0,EIFFL,Food - Processing - Indian,147.0,2.71,34.84,2.32,0.01,2.33,0.68,1.65,0.87,0.78,0.5,0.28,0.0,0.28,6.66,0.8,24.8,0.11,364.55,-1.0_EIFFL
Euro Leder Fash,526468.0,__NA__,Leather / Leather Products,20.0,0.34,14.53,-0.35,1.12,0.77,0.1,0.67,0.51,0.16,0.11,0.06,0.0,0.06,-2.41,0.41,3.91,0.13,8.94,526468.0___NA__
Euro Panel,-1.0,EUROBOND,Aluminium and Aluminium Products,203.9,14.69,179.07,14.96,,,,,,,,,,6.66,,,,2.72,499.56,-1.0_EUROBOND
Eurotex Industri,521014.0,EUROTEXIND,Construction,14.29,-1.13,5.71,4.04,0.53,4.57,0.76,3.81,0.65,3.16,-0.54,3.7,0.0,3.7,70.75,64.8,8.74,4.23,12.5,521014.0_EUROTEXIND
Evans Electric,542668.0,__NA__,Miscellaneous,299.0,4.35,4.95,1.19,,,,,,,,,,0.94,,,,3.43,82.05,542668.0___NA__
Evantra Ventures,512099.0,__NA__,Trading,917.65,0.88,,,,,,,,,,,,,,,,,166.95,512099.0___NA__
Eveready Inds.,531508.0,EVEREADY,Dry Cells,349.65,24.68,286.17,1.03,7.64,8.67,7.05,1.62,20.73,-19.11,-4.72,-14.39,0.0,-14.39,0.36,-5.03,36.34,-1.98,2541.27,531508.0_EVEREADY
Everest Inds.,508906.0,EVERESTIND,Cement Products,1197.4,7.74,446.3,9.75,20.24,29.99,8.38,21.61,26.11,-4.5,-17.46,12.96,0.0,12.96,2.18,2.9,15.68,8.24,1891.26,508906.0_EVERESTIND
Everest Kanto,532684.0,EKC,Packaging,129.1,51.52,297.89,50.06,1.11,52.3,11.23,41.07,3.18,36.76,0.51,37.28,-1.13,36.25,16.8,12.51,22.44,3.24,1448.59,532684.0_EKC
Everest Organics,524790.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs,141.2,2.8,50.75,2.28,0.69,2.97,1.26,1.71,0.95,0.76,0.65,0.11,0.0,0.11,4.49,0.22,,0.14,112.96,524790.0___NA__
Everlon Fin.,514358.0,__NA__,Finance & Investments,194.4,1.69,0.43,0.0,0.03,0.03,0.02,0.01,0.0,0.01,0.63,-0.62,0.0,-0.62,0.0,-144.19,5.62,-1.1,120.53,514358.0___NA__
Evexia Lifecare,524444.0,__NA__,Trading,2.34,0.09,24.78,-0.14,0.18,0.04,0.1,-0.06,0.52,-0.58,0.24,-0.83,0.0,-0.83,-0.56,-3.35,61.93,-0.01,182.38,524444.0___NA__
Evoq Remedies,543500.0,__NA__,Trading,11.75,0.07,4.6,-4.04,,,,,,,,,,1.31,,,,0.96,15.99,543500.0___NA__
Excel Industries,500650.0,EXCELINDUS,Pesticides / Agrochemicals - Indian,1188.85,1.37,226.09,10.7,2.59,13.29,7.84,5.45,0.39,5.06,2.9,2.16,0.0,2.16,4.73,0.96,6.29,1.72,1494.45,500650.0_EXCELINDUS
Excel Realty,533090.0,EXCEL,Construction,0.73,-0.38,0.84,-2.47,0.15,-2.23,0.03,-2.26,0.02,-2.37,-0.44,-1.84,-0.09,-1.93,-294.05,-219.05,94.05,-0.01,102.98,533090.0_EXCEL
Exhicon Events,543895.0,__NA__,Miscellaneous,277.8,10.81,29.53,5.88,,,,,,,,,,4.45,,,,5.15,360.1,543895.0___NA__
Exicom Tele-Sys.,544133.0,EXICOM,Electric Equipment,470.0,35.19,185.47,20.89,10.71,31.6,4.09,27.51,6.73,20.78,0.95,19.83,0.0,19.83,11.26,10.69,,27.43,5678.77,544133.0_EXICOM
Exide Inds.,500086.0,EXIDEIND,Auto Ancillaries,566.45,431.79,3676.76,371.5,36.27,407.77,130.77,277.0,20.93,256.07,75.0,180.12,0.0,181.07,10.1,4.92,85.0,2.12,48148.25,500086.0_EXIDEIND
Expleo Solutions,533121.0,EXPLEOSOL,Computers - Software - Medium / Small,1258.4,38.47,231.08,43.13,3.86,46.99,7.21,39.78,0.48,39.3,10.24,29.06,0.0,29.06,18.66,12.58,15.52,28.34,1952.99,533121.0_EXPLEOSOL
Explicit Finance,530571.0,__NA__,Finance & Investments,6.36,0.36,3.59,0.35,0.0,0.35,0.0,0.35,0.01,0.34,0.0,0.34,0.0,0.34,9.75,9.47,9.27,0.37,5.89,530571.0___NA__
Expo Gas Contain,526614.0,__NA__,Packaging,35.5,1.6,31.05,-2.18,0.11,-2.07,0.09,-2.16,1.0,-3.16,-0.1,-3.05,0.0,-3.05,-7.02,-9.82,7.61,-1.6,80.93,526614.0___NA__
Exxaro Tiles,543327.0,EXXARO,Ceramics - Tiles / Sanitaryware,93.23,1.4,93.79,9.47,-0.65,9.8,4.34,5.46,3.12,1.36,0.24,1.89,-0.98,1.13,10.1,2.02,44.74,0.25,417.12,543327.0_EXXARO
F A C T,590024.0,FACT,Fertilizers,1027.4,43.03,1248.84,184.19,51.89,236.08,9.15,226.93,61.49,165.44,0.0,165.44,0.0,165.44,14.75,13.25,647.07,2.56,66480.15,590024.0_FACT
F Mec Intl. Fin.,539552.0,__NA__,Finance & Investments,92.7,0.54,0.4,0.22,0.0,0.22,0.01,0.21,0.03,0.18,0.09,0.1,0.0,0.1,55.0,25.0,3.1,0.32,82.43,539552.0___NA__
Faalcon Concepts,544164.0,FAALCON,Construction,73.75,1.5,9.07,1.28,,,,,,,,,,0.88,,,,387.67,50.37,544164.0_FAALCON
Fabino Life Sci.,543444.0,__NA__,Trading,26.05,0.07,2.32,0.02,,,,,,,,,,0.0,,,,0.0,5.47,543444.0___NA__
Facor Alloys,532656.0,__NA__,Mining / Minerals / Metals,7.25,-5.43,106.81,4.83,-17.27,7.73,0.52,7.21,0.15,-13.11,1.06,4.37,-20.17,-14.17,4.52,4.57,19.55,-0.65,141.77,532656.0___NA__
Fairchem Organic,543252.0,FAIRCHEMOR,Chemicals,1372.45,19.75,151.9,19.24,0.17,19.41,2.13,17.28,1.32,15.96,4.1,11.86,0.0,11.86,12.67,7.81,13.02,9.11,1787.05,543252.0_FAIRCHEMOR
Falcon,-1.0,FALCONTECH,Engineering - Turnkey Services,86.95,,,,,,,,,,,,,,,,,,46.57,-1.0_FALCONTECH
Family Care,516110.0,__NA__,Healthcare,7.53,1.49,13.68,2.2,0.33,2.53,0.33,2.2,0.12,2.08,0.77,1.3,0.0,1.3,16.08,9.5,32.1,0.24,40.68,516110.0___NA__
Faze Three,530079.0,FAZE3Q,Textiles - Processing,436.95,23.39,142.08,24.27,1.49,25.76,4.08,21.68,2.77,18.91,4.08,14.83,0.0,14.83,17.08,10.44,24.32,6.1,1062.62,530079.0_FAZE3Q
FCS Software,532666.0,FCSSOFT,Computers - Software - Medium / Small,4.1,2.49,8.29,1.7,0.59,1.97,1.76,0.21,0.32,0.21,0.08,0.04,0.32,0.13,20.51,0.48,170.96,0.0,700.92,532666.0_FCSSOFT
FDC,531599.0,FDC,Pharmaceuticals - Indian - Bulk Drugs & Formln,476.05,83.79,434.8,48.96,7.05,56.01,9.74,46.27,1.16,45.11,14.45,30.66,0.0,30.66,11.26,7.05,16.88,1.85,7750.59,531599.0_FDC
Fedbank Financi.,544027.0,FEDFINA,Finance & Investments,123.5,257.29,337.92,213.64,-6.64,222.37,11.1,211.27,141.02,54.88,15.84,49.97,-15.37,39.04,63.22,14.79,,1.21,4579.24,544027.0_FEDFINA
Federal Bank,500469.0,FEDERALBNK,Banks - Private Sector,178.1,4271.14,5012.26,3437.85,768.42,4206.27,0.0,4206.27,2937.54,1268.73,329.16,953.91,0.0,963.55,68.59,19.22,,4.51,43589.32,500469.0_FEDERALBNK
Federal-Mogul Go,505744.0,FMGOETZE,Auto Ancillaries,452.7,47.59,409.7,53.36,7.94,61.3,20.16,41.14,1.04,40.1,5.89,31.69,0.0,34.22,13.02,8.35,55.63,5.7,2518.38,505744.0_FMGOETZE
Felix Industries,-1.0,FELIX,Engineering,319.4,1.45,,,,,,,,,,,,,,,,,397.43,-1.0_FELIX
Fermenta Biotec.,506414.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs,167.0,25.13,105.16,19.29,-7.91,20.45,6.19,14.26,6.31,-1.12,4.18,-0.31,-9.07,-5.29,18.34,-0.38,14.42,-1.4,491.49,506414.0___NA__
Fervent Synerg.,533896.0,__NA__,Trading,16.2,0.51,0.89,0.15,0.0,0.15,0.01,0.14,0.0,0.14,0.14,0.0,0.0,0.0,16.85,0.0,30.0,0.0,48.6,533896.0___NA__
FGP,500142.0,__NA__,Miscellaneous,7.37,0.11,0.04,-0.35,0.08,-0.27,0.0,-0.27,0.0,-0.27,0.17,-0.43,0.0,-0.43,-875.0,-1075.0,11.9,-0.36,8.77,500142.0___NA__
Fiberweb (India),507910.0,FIBERWEB,Textiles - Products,44.8,1.82,4.9,-5.35,-0.97,-5.39,0.72,-6.11,0.19,-7.23,-2.08,-4.22,-0.93,-5.15,-109.18,-86.12,28.79,-1.79,128.99,507910.0_FIBERWEB
Fidel Softech,-1.0,FIDEL,Computers - Software - Medium / Small,102.5,1.64,9.29,1.71,0.42,2.13,0.09,2.04,0.0,2.04,0.49,1.55,0.0,1.55,18.41,16.68,10.1,1.13,140.94,-1.0_FIDEL
Fiem Industries,532768.0,FIEMIND,Auto Ancillaries,1289.0,64.88,436.25,60.47,4.59,65.06,15.97,49.09,2.08,47.01,8.94,38.03,0.0,38.03,13.86,8.72,13.16,14.46,3392.63,532768.0_FIEMIND
Filatex Fash.,532022.0,FILATFASH,Textiles - Products,8.27,4.8,40.82,2.3,3.62,5.92,0.16,5.76,0.34,5.42,1.74,3.68,0.0,3.68,5.63,9.02,48.41,0.38,1378.47,532022.0_FILATFASH
Filatex India,526227.0,FILATEX,Textiles - Manmade,57.35,74.74,1046.78,68.76,5.56,74.32,17.67,56.65,31.38,25.27,6.66,18.61,0.0,18.61,6.57,1.78,45.05,0.42,2545.51,526227.0_FILATEX
Filtra Consult.,539098.0,__NA__,Trading,109.5,2.66,48.31,2.05,,,,,,,,,,1.61,,,,1.96,90.04,539098.0___NA__
Fine Line Cir.,517264.0,__NA__,Electronics - Components,90.0,0.41,7.3,0.17,0.04,0.21,0.12,0.09,0.13,-0.04,-0.03,-0.01,0.0,-0.01,2.33,-0.14,4.83,-0.02,43.29,517264.0___NA__
Fine Organic,541557.0,FINEORG,Chemicals,5076.2,92.37,698.61,187.26,12.98,200.24,13.03,187.21,0.87,186.34,48.26,138.08,0.0,138.08,26.8,19.76,15.33,45.04,15563.59,541557.0_FINEORG
Finelistings,544173.0,__NA__,Computers - Software - Medium / Small,60.01,,,,,,,,,,,,,,,,,,21.82,544173.0___NA__
Fineotex Chem,533333.0,FCL,Chemicals,384.9,40.34,137.69,32.71,2.09,34.8,1.16,33.64,0.26,33.38,7.38,25.82,0.0,26.0,23.76,18.88,22.15,2.33,4263.37,533333.0_FCL
Finkurve Fin.,508954.0,__NA__,Finance & Investments,59.7,8.33,17.29,5.13,0.06,5.19,0.16,5.03,1.49,3.54,1.28,2.26,0.0,2.26,29.67,13.07,12.69,0.18,757.35,508954.0___NA__
Fino Payments,543386.0,FINOPB,Banks - Private Sector,300.75,-286.66,29.4,-257.65,294.03,36.38,0.0,36.38,14.3,22.08,0.0,22.08,0.0,22.08,-876.36,75.1,,2.65,2502.68,543386.0_FINOPB
Finolex Cables,500144.0,FINCABLES,Cables - Power,1595.45,133.11,1224.32,147.71,41.82,189.53,15.14,174.39,0.85,173.54,38.96,134.58,0.0,134.58,12.06,10.99,30.59,8.8,24400.69,500144.0_FINCABLES
Finolex Inds.,500940.0,FINPIPE,Plastics Products,325.95,119.9,1141.06,217.43,29.2,246.63,23.8,222.83,6.46,216.37,58.02,158.35,0.0,158.35,19.06,13.88,124.1,2.55,20224.49,500940.0_FINPIPE
First Custodian,511122.0,__NA__,Finance & Investments,127.7,0.84,0.16,0.05,0.0,0.05,0.02,0.03,0.09,-0.06,0.0,-0.06,0.0,-0.06,31.25,-37.5,1.5,-0.4,19.15,511122.0___NA__
First Fintec,532379.0,__NA__,Computers - Software - Medium / Small,7.71,0.12,1.61,-0.12,0.0,-0.12,0.13,-0.25,0.0,-0.25,0.07,-0.32,0.0,-0.32,-7.45,-19.88,10.4,-0.31,8.02,532379.0___NA__
Firstsour.Solu.,532809.0,FSL,Computers - Software - Medium / Small,212.25,237.12,1556.82,244.12,12.66,256.78,64.24,192.54,20.67,171.87,30.57,141.3,0.0,141.3,15.68,9.08,696.99,2.02,14961.87,532809.0_FSL
Fischer Medical,524743.0,__NA__,Trading,645.0,,,,,,,,,,,,,,,,,,3450.75,524743.0___NA__
Five-Star Bus.Fi,543663.0,FIVESTAR,Finance & Investments,816.9,422.6,435.79,302.96,3.5,306.46,4.81,301.65,77.41,224.24,55.35,168.88,0.0,168.88,69.52,38.75,29.13,5.8,23891.18,543663.0_FIVESTAR
Flair Writing,544030.0,FLAIR,Printing & Stationery,298.35,33.15,243.78,46.83,2.23,49.06,6.23,42.83,2.6,40.23,10.55,29.67,0.0,29.67,19.21,12.17,,3.18,3144.47,544030.0_FLAIR
Flex Foods,523672.0,__NA__,Food - Processing - Indian,128.45,-10.33,34.8,5.23,-0.07,5.16,3.53,1.63,11.81,-10.18,-2.7,-7.48,0.0,-7.48,15.03,-21.49,12.45,-6.01,159.94,523672.0___NA__
Flexituff Vent.,533638.0,FLEXITUFF,Packaging,30.9,-30.5,184.01,-20.18,2.1,-18.08,16.14,-34.22,17.35,-51.57,-31.5,-20.07,0.0,-20.07,-10.97,-10.91,24.88,-8.14,83.07,533638.0_FLEXITUFF
Flomic Global,504380.0,__NA__,Miscellaneous,72.51,8.83,75.22,6.98,1.06,8.04,4.77,3.27,2.03,1.24,0.37,0.87,0.0,0.87,9.28,1.16,18.17,0.48,131.73,504380.0___NA__
Flora Corporatio,540267.0,__NA__,Trading,11.87,0.02,21.38,-0.39,0.0,-0.39,0.0,-0.39,0.0,-0.39,0.03,-0.42,0.0,-0.42,-1.82,-1.96,8.73,-0.48,10.37,540267.0___NA__
Flora Textiles,530705.0,__NA__,Textiles - Processing,24.42,0.04,0.1,-0.07,0.01,-0.06,0.01,-0.07,0.19,-0.26,0.0,-0.26,0.0,-0.26,-70.0,-260.0,,-0.43,14.66,530705.0___NA__
Fluidomat,522017.0,__NA__,Engineering,611.05,3.1,14.29,4.45,0.17,4.62,0.14,4.48,0.0,4.48,1.18,3.3,0.0,3.3,31.14,23.09,4.93,6.7,301.25,522017.0___NA__
Foce India,-1.0,FOCE,Trading,995.0,7.09,15.13,3.12,,,,,,,,,,2.37,,,,4.84,486.85,-1.0_FOCE
Focus Lighting,-1.0,FOCUS,Electric Equipment,146.5,10.51,40.89,7.86,0.22,8.08,1.4,6.68,0.22,6.46,1.31,5.16,0.0,5.16,19.22,12.62,10.14,0.82,971.01,-1.0_FOCUS
Fone4 Communica.,543521.0,__NA__,Trading,4.5,0.14,83.81,-1.85,,,,,,,,,,-2.0,,,,-1.17,7.67,543521.0___NA__
Fonebox,-1.0,FONEBOX,Trading,182.0,,113.75,2.28,,,,,,,,,,0.97,,,,19.4,186.72,-1.0_FONEBOX
Foods & Inns,507552.0,FOODSIN,Food - Processing - Indian,151.55,17.85,332.74,33.22,1.04,34.14,3.39,30.75,8.81,22.06,6.86,15.12,0.12,15.2,9.98,4.54,5.03,2.98,886.53,507552.0_FOODSIN
Forbes & Co,502865.0,__NA__,Engineering,648.0,0.08,11.26,-3.68,14.1,-0.79,1.36,-2.15,-0.9,9.96,-0.27,-0.18,11.21,10.23,-32.68,-1.6,12.9,7.93,835.91,502865.0___NA__
Forbes Precision,544186.0,__NA__,Engineering,349.65,12.25,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,,,,,1803.98,544186.0___NA__
Force Motors,500033.0,FORCEMOT,Automobiles - LCVs / HCVs,9049.1,215.09,1490.25,118.11,246.32,156.11,62.7,93.41,17.98,283.75,137.13,38.97,208.32,146.62,7.93,2.62,13.18,111.25,11926.73,500033.0_FORCEMOT
Fortis Health.,532843.0,FORTIS,Healthcare,478.0,283.97,1642.7,270.87,26.04,286.37,81.78,204.59,31.72,183.41,45.11,124.93,10.54,138.3,16.49,7.94,754.96,1.76,36087.0,532843.0_FORTIS
Fortis Malar,523696.0,__NA__,Healthcare,62.7,-1.09,20.66,0.73,1.97,2.7,3.44,-0.74,1.42,-2.16,4.82,-6.99,0.0,-6.99,3.53,-33.83,18.76,-3.73,117.51,523696.0___NA__
Fortune Interntl,530213.0,__NA__,Trading,51.0,-0.03,0.0,-0.02,0.01,-0.01,0.0,-0.01,0.0,-0.01,0.0,0.99,0.0,0.99,,,7.04,1.41,35.9,530213.0___NA__
Foseco India,500150.0,FOSECOIND,Chemicals,4199.95,19.53,110.95,15.49,5.21,20.7,1.56,19.14,0.0,19.14,4.9,14.24,0.0,14.24,13.96,12.83,,22.3,2683.76,500150.0_FOSECOIND
Foundry Fuel,513579.0,__NA__,Miscellaneous,10.35,-0.05,0.0,-0.03,0.0,-0.03,0.0,-0.03,0.02,-0.05,0.0,-0.05,0.0,-0.05,,,8.02,-0.06,8.3,513579.0___NA__
Fourth Gen.,532403.0,__NA__,Computers - Software - Medium / Small,5.45,-0.01,0.0,-0.01,0.0,-0.01,0.05,-0.06,0.0,-0.06,0.0,-0.06,0.0,-0.06,,,3.55,-0.17,1.93,532403.0___NA__
Franklin Indust.,540190.0,__NA__,Trading,5.29,4.68,8.19,2.09,-2.55,2.09,0.0,2.09,0.0,-0.46,-0.13,2.21,-2.55,-0.34,25.52,26.98,3.62,-0.02,76.49,540190.0___NA__
Franklin Leasing,539839.0,__NA__,Finance & Investments,15.3,-0.18,5.79,9.91,,,,,,,,,,0.0,,,,0.0,24.15,539839.0___NA__
Fraser & Company,539032.0,__NA__,Trading,5.03,-0.21,0.0,0.29,0.0,0.29,0.03,0.26,0.03,0.23,0.06,0.18,0.0,0.18,,,8.12,0.22,4.09,539032.0___NA__
Fredun Pharma,539730.0,__NA__,Pharmaceuticals - Indian - Formulations,876.0,10.52,79.81,12.26,0.0,12.26,0.7,11.56,3.55,8.01,4.12,3.89,0.0,3.89,15.36,4.87,4.43,8.58,410.32,539730.0___NA__
Freshtrop Fruits,530077.0,__NA__,Food - Processing - Indian,132.1,-4.06,28.67,4.78,4.04,4.89,1.06,3.83,-0.24,8.0,1.12,2.95,3.93,6.88,16.67,10.29,10.69,6.95,105.27,530077.0___NA__
Frog Cellsat,-1.0,FROG,Telecommunications - Equipment,326.05,4.58,31.13,5.63,0.53,6.16,0.53,5.63,0.01,5.62,0.97,4.64,0.0,4.64,18.09,14.91,,3.02,503.29,-1.0_FROG
Frontier Capital,508980.0,__NA__,Finance & Investments,21.7,0.03,0.08,-0.09,0.43,0.34,0.0,0.34,0.0,0.34,-0.04,0.38,0.0,0.38,-112.5,475.0,16.76,0.23,36.38,508980.0___NA__
Frontier Springs,522195.0,__NA__,Auto Ancillaries,1545.0,5.16,29.15,3.69,0.21,3.9,0.97,2.93,0.06,2.87,0.7,2.17,0.0,2.17,12.66,7.44,3.96,5.51,608.72,522195.0___NA__
Frontline Corp.,532042.0,__NA__,Trading,40.69,0.16,20.56,-0.92,2.22,1.3,0.42,0.88,0.08,0.8,0.17,0.63,0.0,0.63,-4.47,3.06,,1.26,20.35,532042.0___NA__
Fruition Venture,538568.0,__NA__,Finance & Investments,61.75,-0.01,0.0,-0.12,0.05,-0.07,0.0,-0.07,0.0,-0.07,-0.13,0.06,0.0,0.06,,,4.0,0.15,24.7,538568.0___NA__
FSN E-Commerce,543384.0,NYKAA,Trading,176.8,98.78,1301.72,70.69,9.74,80.43,53.04,27.39,18.76,8.63,4.36,2.27,0.0,2.27,5.43,0.17,47.41,0.01,50508.79,543384.0_NYKAA
Fundviser Capit.,530197.0,__NA__,Finance & Investments,145.4,0.01,-0.03,-0.1,0.0,-0.1,0.0,-0.1,0.0,-0.1,-0.01,-0.09,0.0,-0.09,,,3.69,-0.24,66.38,530197.0___NA__
Fusion Microfin.,543652.0,FUSION,Finance & Investments,453.9,350.13,500.89,308.66,19.8,328.46,2.3,326.16,174.24,151.92,37.4,114.52,0.0,114.52,61.62,22.86,,11.38,4567.63,543652.0_FUSION
Future Consumer,533400.0,FCONSUMER,Trading,0.97,-4.04,85.07,-7.58,-17.33,-1.02,5.7,-6.72,13.98,-44.59,1.65,-23.26,-23.89,-46.23,-8.91,-27.38,1190.15,-0.23,193.71,533400.0_FCONSUMER
Future Ent. DVR,570002.0,FELDVR,Trading,6.0,298.54,2368.29,243.56,108.84,351.4,124.16,227.24,161.76,66.48,0.0,65.48,1.0,66.48,10.28,2.76,,41.81,23.63,570002.0_FELDVR
Future Enterp.,523574.0,FEL,Trading,0.79,-8.01,321.52,-349.87,-855.94,-346.86,126.88,-473.74,177.42,-1510.11,0.0,-651.16,-858.95,-1510.11,-108.82,-202.53,98.86,-33.19,60.43,523574.0_FEL
Future Lifestyle,536507.0,FLFL,Trading,2.54,-2.05,833.14,19.01,2.57,28.73,165.79,-137.06,75.07,-219.28,-10.06,-202.07,-7.15,-209.22,2.28,-24.25,40.36,-10.37,51.27,536507.0_FLFL
Future Market,533296.0,FMNL,Miscellaneous,6.55,11.2,25.22,10.38,-14.83,16.46,4.46,12.0,4.39,-13.3,9.06,-10.16,-20.91,-22.35,41.16,-41.59,57.54,-3.76,37.71,533296.0_FMNL
Future Retail,540064.0,FRETAIL,Trading,3.09,-358.84,1486.3,-117.28,26.84,-90.44,353.94,-444.38,396.75,-841.13,0.0,-841.13,0.0,-841.13,-7.89,-56.59,,-15.51,167.56,540064.0_FRETAIL
Future Supply,540798.0,FSC,Miscellaneous,3.37,31.56,128.99,15.54,7.02,22.56,42.28,-19.72,22.89,-42.61,0.0,-42.61,0.0,-42.61,12.05,-33.03,,-9.71,14.79,540798.0_FSC
Futuristic Sec.,523113.0,__NA__,Finance & Investments,20.59,0.0,0.02,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,-0.01,0.0,0.0,0.0,-50.0,0.0,,0.0,4.02,523113.0___NA__
Futuristic Solu,534063.0,__NA__,Finance & Investments,102.0,-0.15,3.5,3.42,0.07,3.49,0.03,3.46,0.01,3.45,0.7,2.75,0.0,2.75,97.71,78.57,10.47,2.63,106.79,534063.0___NA__
G D Trad&Agency,504346.0,__NA__,Finance & Investments,21.07,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,,,0.6,,0.21,504346.0___NA__
