Name,BSE Code,NSE Code,Industry,Current Price,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Net cash flow last year,Cash beginning of last year,Cash end of last year,Free cash flow preceding year,Cash from operations preceding year,Cash from investing preceding year,Cash from financing preceding year,Net cash flow preceding year,Cash beginning of preceding year,Cash end of preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Free cash flow 10years,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Operating cash flow 10years,Investing cash flow 10years,Investing cash flow 7years,Investing cash flow 5years,Investing cash flow 3years,Cash 3Years back,Cash 5Years back,Cash 7Years back,Market Capitalization,join_key
Genus Power,530343.0,GENUSPOWER,Electronics - Components,325.1,-154.04,-227.2,-430.36,567.84,-16.56,-111.5,670.42,63.21,87.25,-81.03,86.57,92.79,-204.29,136.54,-151.11,58.48,59.53,235.99,-38.84,202.98,259.88,492.38,-778.03,-725.74,-671.9,-619.74,114.68,39.07,56.79,9875.08,530343.0_GENUSPOWER
Genus Prime,532425.0,__NA__,Construction,18.59,-0.01,-0.01,0.0,0.0,-0.01,0.12,0.11,-0.01,-0.01,0.0,-0.01,-0.02,0.14,0.12,9.82,18.18,16.53,17.11,9.82,18.18,16.53,16.29,-17.16,-18.59,-18.21,-10.0,0.15,0.13,2.17,27.76,532425.0___NA__
Geojit Fin. Ser.,532285.0,GEOJITFSL,Finance & Investments,102.9,-124.05,-143.04,-14.67,209.83,71.1,76.09,1073.03,15.16,37.69,-16.33,-60.58,-39.22,115.31,717.1,-64.93,-67.09,-70.61,89.61,-3.3,13.23,47.9,253.5,16.48,103.07,12.62,-45.81,744.18,335.86,252.49,2460.82,532285.0_GEOJITFSL
Getalong Enterp.,543372.0,__NA__,Miscellaneous,195.0,6.8,5.82,-1.76,-5.07,-0.03,0.05,0.05,-6.9,-6.35,-0.99,7.17,-0.16,0.21,0.05,-6.94,,,,-3.07,,,,,,,-6.39,0.55,,,39.0,543372.0___NA__
GFL,500173.0,GFLLIMITED,Finance & Investments,82.36,0.36,0.35,-0.1,0.0,0.26,0.31,1.24,402.16,402.17,-240.93,-184.41,-23.17,23.48,1.26,491.46,1276.19,1799.3,1147.38,491.48,1549.97,3497.42,4757.71,-3210.92,-1314.88,-948.44,-400.79,80.0,165.43,496.19,904.71,500173.0_GFLLIMITED
GHCL,500171.0,GHCL,Chemicals,554.35,797.04,690.58,-571.27,-337.67,-111.9,160.63,491.5,506.19,856.17,-408.76,-529.95,-82.54,243.75,139.77,1502.74,2431.44,2996.11,3620.2,2296.63,3542.03,4661.69,6044.6,-2932.78,-2181.5,-1630.93,-1316.6,48.63,35.5,36.14,5308.15,500171.0_GHCL
GHCL Textiles,543918.0,GHCLTEXTIL,Textiles - Spinning - Synthetic / Blended,91.07,57.9,-12.59,-33.36,-14.24,10.3,0.0,11.96,-0.01,-0.01,0.0,0.0,-0.01,0.01,0.0,-12.6,,,,57.89,,,,,,,-33.36,0.01,,,870.48,543918.0_GHCLTEXTIL
Gian Lifecare,542918.0,__NA__,Healthcare,21.33,0.75,0.44,0.33,-0.86,0.22,5.75,5.97,0.69,2.32,-0.94,-0.37,1.01,4.74,5.75,5.96,9.72,,,8.86,13.24,,,,,-9.9,-4.84,2.51,1.1,,22.07,542918.0___NA__
GIC Housing Fin,511676.0,GICHSGFIN,Finance - Housing,248.25,522.0,518.06,63.5,-619.39,-33.89,69.64,39.84,1037.84,1043.84,-212.85,-1238.36,-407.37,477.01,88.88,2836.61,3376.48,7.95,-3441.37,2851.81,3421.37,54.71,-3392.5,-188.77,-175.07,-177.77,-153.3,90.63,52.22,62.11,1336.85,511676.0_GICHSGFIN
Gilada Finance,538788.0,__NA__,Finance & Investments,10.0,-2.86,-2.88,-0.07,5.23,2.31,0.8,0.66,-2.88,-2.86,-0.07,5.23,2.31,0.8,3.11,-4.99,-4.86,-6.25,-4.92,-4.91,-4.75,-6.04,-4.57,-0.62,-0.44,-0.21,-0.18,0.04,0.2,0.16,14.04,538788.0___NA__
Gillanders Arbut,532716.0,GILLANDERS,Diversified - Medium / Small,101.93,32.72,28.72,-2.63,-30.37,-0.28,2.67,2.85,38.17,48.35,10.92,-57.32,1.95,0.72,3.38,129.36,341.81,481.62,587.0,149.67,290.72,460.97,586.99,72.56,83.48,115.95,6.47,7.25,9.04,8.76,217.5,532716.0_GILLANDERS
Gillette India,507815.0,GILLETTE,Personal Care - Multinational,7437.6,462.6,383.99,-66.67,-231.44,164.49,288.95,455.56,345.21,461.53,-112.04,-224.89,124.6,164.35,291.07,1082.19,1330.57,1677.06,2015.02,1367.29,1726.69,2211.78,2759.43,-398.48,-414.84,-351.77,-258.06,232.48,236.63,537.17,24239.14,507815.0_GILLETTE
Gini Silk Mills,531744.0,__NA__,Textiles - Processing,130.15,3.55,3.17,-2.77,-0.75,0.03,0.04,0.07,-0.09,0.37,0.81,-1.17,0.0,0.03,0.04,-3.83,-2.46,-4.43,-9.94,0.15,2.0,3.19,8.48,-9.6,4.53,-0.47,-1.99,0.4,0.22,0.95,72.75,531744.0___NA__
Ginni Filaments,590025.0,GINNIFILA,Textiles - Cotton/Blended,31.9,43.43,15.72,178.69,-207.55,14.57,2.32,21.55,94.1,118.66,-23.84,-94.22,0.6,1.72,4.28,37.27,149.43,197.23,385.59,160.93,286.65,377.51,624.01,-28.13,26.68,68.28,78.62,4.48,5.29,4.99,273.22,590025.0_GINNIFILA
Giriraj Civil,-1.0,GIRIRAJ,Construction,385.0,-27.91,-30.05,-9.37,30.31,-6.97,14.78,14.78,-31.38,-23.06,13.53,21.58,12.05,2.73,14.78,-67.02,-39.16,-38.72,,-56.27,-28.48,-27.47,,,-13.68,-14.31,7.84,2.4,2.28,1.19,920.94,-1.0_GIRIRAJ
Gita Renewable,539013.0,__NA__,Power Generation And Supply,186.75,-0.83,-0.83,0.79,-0.01,-0.04,0.08,0.04,15.22,15.22,6.86,-26.44,-4.36,4.44,0.08,-9.91,-20.12,-13.34,38.95,-9.91,-25.77,-18.97,23.97,30.51,19.03,25.81,3.3,6.65,0.0,0.01,76.81,539013.0___NA__
GKB Ophthalmics,533212.0,__NA__,Personal Care - Indian,98.75,4.22,2.19,-1.71,-1.64,0.87,2.36,17.84,-2.23,-2.77,1.43,-2.19,-3.53,5.89,14.45,0.4,0.79,-9.79,-26.02,6.52,16.65,17.91,10.29,-14.93,-32.86,-24.31,-3.8,17.28,10.04,2.84,49.79,533212.0___NA__
GKW,-1.0,GKWLIMITED,Finance & Investments,2787.0,13.79,4.79,-5.56,-0.05,8.19,0.68,62.21,-1.08,2.08,-3.11,-0.04,-1.08,1.75,41.69,2.49,-10.25,-25.7,-20.89,16.28,8.79,-1.2,0.55,6.9,10.25,0.07,-9.67,59.96,2.19,10.61,1663.84,-1.0_GKWLIMITED
Glance Finance,531199.0,__NA__,Finance & Investments,90.21,11.57,4.96,-3.1,-7.6,0.86,0.22,1.09,-5.12,4.69,-7.34,2.55,-0.1,0.32,0.22,-9.76,-10.67,-5.35,-7.18,19.53,25.14,30.44,28.55,-27.0,-28.65,-23.4,-19.92,1.09,0.16,0.11,20.35,531199.0___NA__
Gland Pharma,543245.0,GLAND,Pharmaceuticals - Indian - Formulations,1824.7,996.8,599.31,-1756.91,-799.42,-1559.53,1908.9,1839.43,140.99,363.97,1211.19,14.92,1590.08,318.82,3770.68,1009.35,1916.1,,,2151.54,3457.41,,,,,-3826.42,-1545.03,3005.75,,,30062.24,543245.0_GLAND
Glaxosmi. Pharma,500660.0,GLAXO,Pharmaceuticals - Multinational,2653.7,582.02,573.26,8.71,-561.5,29.23,34.94,1063.22,451.43,484.23,807.85,-1543.32,-251.25,286.19,1155.93,3395.7,4267.51,5073.26,5155.59,1877.0,2945.41,3827.7,4538.61,1494.27,514.6,772.24,411.05,1157.96,1171.35,899.61,44955.31,500660.0_GLAXO
Gleam Fabmat,542477.0,__NA__,Trading,2.71,-0.03,-0.08,-0.05,0.04,-0.04,0.09,0.09,0.03,0.03,0.0,0.03,0.06,0.03,0.09,-0.05,-0.49,,,0.0,-0.6,,,,,0.11,-0.05,0.03,0.1,,2.71,542477.0___NA__
Glenmark Life,543322.0,GLS,Pharmaceuticals - Indian - Bulk Drugs & Formln,878.9,413.52,285.02,-116.48,-279.44,17.59,283.82,301.59,143.37,313.4,-154.15,-387.59,-228.33,512.16,309.4,894.28,1360.16,1360.7,,1324.51,1907.63,1917.5,,,-520.94,-512.11,-392.86,115.6,2.06,,10768.9,543322.0_GLS
Glenmark Pharma.,532296.0,GLENMARK,Pharmaceuticals - Indian - Bulk Drugs & Formln,1242.4,-265.44,-1161.74,4560.89,-3906.13,389.32,1443.03,1659.46,74.86,625.39,-515.44,-77.46,32.5,1410.53,1469.7,-766.77,305.13,1642.35,966.28,1468.6,3992.22,6964.44,8448.4,-2254.07,409.29,2294.36,3729.72,1139.16,937.77,1057.66,35059.06,532296.0_GLENMARK
Glittek Granites,513528.0,__NA__,Miscellaneous,3.4,3.45,3.44,0.0,-3.45,0.0,0.03,0.0,0.05,-0.02,0.06,-0.02,0.02,0.01,0.03,2.45,4.94,4.63,8.2,2.25,4.74,4.39,8.83,-0.28,0.5,0.31,0.27,0.1,0.2,0.47,8.83,513528.0___NA__
Global Cap.Mkt.,530263.0,__NA__,Finance & Investments,1.05,-2.32,-2.32,3.09,-0.01,0.76,2.5,3.25,-0.53,-0.53,2.67,-0.03,2.11,0.39,2.5,-3.66,-32.37,-45.95,-51.65,-3.43,-32.14,-45.72,-51.42,45.54,45.38,31.3,6.12,0.42,4.15,3.7,41.83,530263.0___NA__
Global Education,-1.0,GLOBAL,Miscellaneous,170.15,19.57,19.09,-10.11,-10.18,-0.72,9.02,8.3,20.71,25.8,-16.58,-4.07,5.15,3.87,9.02,41.12,43.51,37.55,41.5,66.21,70.37,69.54,76.98,-53.8,-45.64,-43.23,-40.23,0.64,1.41,8.82,346.44,-1.0_GLOBAL
Global Health,543654.0,MEDANTA,Healthcare,1256.3,612.08,334.92,-440.8,-513.92,-342.64,767.24,1175.28,409.33,644.52,-342.34,345.64,647.81,119.43,1278.1,782.42,869.58,655.8,,1567.86,1984.7,2213.0,,,-1848.18,-1530.24,-1204.02,289.3,266.45,,33732.6,543654.0_MEDANTA
Global Longlife,543520.0,__NA__,Healthcare,33.8,-5.07,-6.02,-0.82,2.67,-3.22,3.6,3.6,-42.42,-40.42,-1.9,45.7,3.38,0.22,3.6,-39.48,-28.85,,,-36.07,-25.29,,,,,-2.73,-2.71,0.44,0.48,,35.49,543520.0___NA__
Global Offshore,501848.0,__NA__,Shipping,65.06,11.78,93.2,81.42,-94.39,-1.19,6.51,5.32,72.73,8.12,64.61,-76.84,-4.11,10.62,6.51,178.34,252.11,296.37,419.4,38.15,76.94,96.98,346.81,31.67,211.17,177.96,140.24,7.18,21.49,30.5,160.9,501848.0___NA__
Global Pet Indus,-1.0,GLOBALPET,Engineering,97.05,-2.0,-6.76,-3.42,13.23,7.81,3.36,3.36,-1.64,-2.57,0.8,-0.1,-1.87,5.23,3.36,-8.15,-5.03,,,-4.28,-0.95,,,,,-3.64,-2.68,4.9,,,94.98,-1.0_GLOBALPET
Global Surfaces,543829.0,GSLSU,Miscellaneous,216.0,-37.25,-140.77,9.03,24.31,-3.91,6.5,5.44,-87.42,27.03,-205.26,182.7,4.47,2.03,113.58,-209.83,-141.52,,,17.97,103.8,,,,,-242.85,-224.37,6.52,,,915.48,543829.0_GSLSU
Global Vectra,532773.0,GLOBALVECT,Transport - Airlines,204.0,111.33,95.71,30.85,-141.5,0.67,1.65,17.51,72.67,28.57,95.0,-142.08,-18.52,20.17,15.27,239.02,316.74,394.87,582.24,199.49,286.34,377.31,581.96,205.08,233.81,246.9,180.61,10.61,6.95,5.0,285.6,532773.0_GLOBALVECT
Globalspace Tech,540654.0,__NA__,Computers - Software - Medium / Small,17.83,-11.32,-15.18,-3.86,15.18,0.0,0.01,0.01,3.42,4.16,0.52,-4.68,0.0,0.01,0.01,-28.86,-28.2,-39.69,-45.97,-12.04,-1.67,-1.38,-0.96,-48.29,-41.59,-27.24,-15.52,2.21,0.43,0.01,61.28,540654.0___NA__
Globe Commercial,540266.0,__NA__,Trading,19.95,-0.02,-0.02,0.0,0.0,-0.02,0.06,0.04,0.05,0.05,0.0,0.0,0.05,0.01,0.06,0.25,0.23,0.46,1.67,0.25,0.23,0.46,1.67,-7.74,-1.85,-1.66,-0.36,0.02,0.0,0.0,11.97,540266.0___NA__
Globe Intl. Car.,-1.0,GICL,Miscellaneous,43.0,-11.44,-12.66,-8.48,20.17,0.26,0.19,0.48,1.0,1.35,2.22,-3.55,0.01,0.18,0.48,-13.1,-12.78,-5.14,-8.33,-11.52,-10.92,-2.01,-5.17,-5.16,-9.05,-3.55,-3.58,0.84,1.11,0.61,107.16,-1.0_GICL
Globe Textiles,-1.0,GLOBE,Textiles - Products,3.34,8.61,8.15,0.4,-8.97,0.03,0.13,0.16,-3.4,-0.74,-2.54,3.25,-0.02,0.15,0.13,-4.36,-9.94,-5.36,-20.7,-0.85,-6.13,-0.83,-0.53,-19.31,-5.55,-4.5,-2.48,0.07,0.25,1.07,100.29,-1.0_GLOBE
Globesecure Tech,-1.0,GSTL,Computers - Software - Medium / Small,44.3,2.07,1.66,-0.52,-1.5,0.05,0.23,0.23,-7.66,-5.46,-2.36,7.73,-0.09,0.32,0.23,-11.68,-11.85,,,-8.89,-5.49,,,,,-6.53,-2.96,0.04,0.39,,40.35,-1.0_GSTL
Globus Power,526025.0,__NA__,Miscellaneous,35.4,6.92,6.95,0.03,-6.95,0.01,0.03,0.04,-1.17,-1.17,0.0,1.18,0.01,0.02,0.03,0.23,0.01,0.17,-177.15,0.2,-0.03,0.12,-177.17,163.84,0.1,0.04,0.03,0.03,0.05,0.14,350.27,526025.0___NA__
Globus Spirits,533104.0,GLOBUSSPR,Breweries & Distilleries,771.85,170.13,-5.52,-165.02,-6.17,-1.06,1.95,77.97,-117.79,102.0,-210.69,85.01,-23.67,25.62,,,,,,,,,,,,,,58.13,1.61,2.37,2224.73,533104.0_GLOBUSSPR
Gloster Ltd,542351.0,GLOSTERLTD,Textiles - Jute - Yarn / Products,834.8,38.01,-105.78,-125.69,85.5,-2.19,9.83,32.85,-84.1,66.93,-77.29,14.89,4.52,5.31,29.88,-149.86,-210.69,-140.58,,230.59,282.3,375.82,,,-394.76,-330.03,-298.8,31.28,9.79,2.8,913.54,542351.0_GLOSTERLTD
GMM Pfaudler,505255.0,GMMPFAUDLR,Engineering,1354.3,283.89,221.28,-31.7,-244.04,8.15,311.48,343.57,161.31,184.75,-293.74,129.89,20.9,290.58,371.61,490.21,560.72,618.2,660.12,705.03,888.45,983.23,1060.49,-662.62,-607.62,-575.06,-459.4,292.28,75.8,31.65,6088.54,505255.0_GMMPFAUDLR
GMR Airports Inf,532754.0,GMRINFRA,Engineering - Turnkey Services,96.91,3880.1,-641.43,-5788.41,466.54,-1441.77,3239.72,2825.59,-1584.53,2299.23,-2410.25,1731.29,1620.27,1619.45,4020.67,-2031.86,-5055.78,-4164.9,-100.86,9435.44,10814.72,15214.2,26131.18,-16695.33,-13361.2,-8794.53,-10241.5,6413.27,1629.65,1771.08,58494.36,532754.0_GMRINFRA
GMR Urban,543490.0,GMRP&UI,Engineering - Turnkey Services,85.08,1690.28,1650.58,-902.64,-1323.72,-536.08,965.97,681.81,1301.01,1230.33,3119.72,-3839.73,510.32,455.65,1103.91,4216.33,,,,4135.23,,,,,,,3484.48,268.21,,,5135.39,543490.0_GMRP&UI
GNA Axles,540124.0,GNA,Auto Ancillaries,396.75,98.41,9.9,-85.6,-12.89,-0.07,0.32,32.59,30.13,105.42,-66.47,-38.88,0.07,0.25,27.21,35.86,54.55,16.69,-11.44,245.21,397.14,529.06,540.24,-554.66,-515.86,-349.36,-198.0,19.5,0.37,72.45,1703.28,540124.0_GNA
Go Digit General,544179.0,GODIGIT,Finance & Investments,350.3,1720.47,1704.08,-1985.88,342.15,76.74,279.05,366.06,2229.35,2249.75,-2514.29,397.07,132.53,146.52,279.3,6362.49,,,,6449.22,,,,,,,-7987.37,159.89,,,32129.58,544179.0_GODIGIT
Go Fashion (I),543401.0,GOCOLORS,Textiles - Products,1038.65,218.69,175.33,-73.13,-107.76,37.8,33.65,192.06,68.8,103.74,-27.57,-84.09,-7.92,41.57,87.17,257.33,365.89,355.42,,355.45,502.74,532.23,,,-241.27,-225.08,-159.12,39.69,43.66,3.78,5609.63,543401.0_GOCOLORS
Goa Carbon,509567.0,GOACARBON,Petrochemicals,800.0,196.08,192.43,99.47,-137.51,158.05,2.55,237.26,-114.71,-115.62,-19.71,126.65,-8.68,11.24,201.7,36.2,21.29,151.03,185.0,40.56,28.94,165.26,211.43,52.34,7.95,-54.91,-60.23,27.74,34.5,88.49,731.99,509567.0_GOACARBON
Goblin India,542850.0,__NA__,Trading,42.49,1.23,0.79,-0.44,-0.79,-0.01,0.2,0.2,-1.88,1.71,-3.01,1.27,-0.03,0.23,0.2,-8.54,-19.76,-20.17,,-4.5,-15.08,-14.55,,,-7.4,-6.48,-3.19,0.28,0.59,1.36,58.72,542850.0___NA__
GOCL Corpn.,506480.0,GOCLCORP,Chemicals,470.45,40.0,26.21,734.49,-800.37,-25.87,40.64,40.63,125.33,-76.64,172.74,-89.85,6.26,34.38,79.42,79.18,49.15,66.89,94.14,-98.35,-103.82,-54.01,-7.31,1011.03,638.57,82.07,585.66,42.13,57.38,33.82,2332.11,506480.0_GOCLCORP
Godavari Drugs,530317.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs,104.95,18.41,6.02,-13.22,-5.65,-0.46,3.08,2.62,4.07,13.22,-8.64,-3.77,0.81,2.28,3.08,16.07,15.08,16.41,5.13,42.86,50.43,57.96,52.73,-45.3,-40.05,-34.76,-26.83,1.64,1.53,0.88,79.04,530317.0___NA__
Godawari Power,532734.0,GPIL,Steel - Large,1082.05,1044.44,625.91,-753.52,-678.74,-387.82,507.3,870.44,513.27,962.41,-219.83,-246.28,496.3,11.0,800.29,1863.2,3179.91,3999.77,4592.32,3337.19,4856.8,5857.76,6800.19,-2728.74,-2468.2,-2280.7,-2068.36,51.35,38.86,51.13,14709.93,532734.0_GPIL
Godfrey Phillips,500163.0,GODFRYPHLP,Cigarettes,4264.95,290.23,192.07,55.45,-349.48,-3.8,23.03,24.98,735.95,735.92,-540.75,-206.28,-11.11,34.14,40.3,1333.02,1767.04,2456.68,2776.17,1504.75,2189.6,3067.26,3695.16,-2079.29,-1803.53,-1088.79,-719.62,46.1,45.58,31.47,22175.14,500163.0_GODFRYPHLP
Godha Cabcon,-1.0,GODHA,Cables - Power,0.93,-46.1,-44.56,1.93,43.24,-0.94,1.16,0.65,4.03,4.03,-1.84,-1.04,1.15,0.01,1.56,-37.5,-38.23,-59.29,,-39.04,-39.16,-58.3,,,1.41,-4.12,-3.69,0.89,2.31,0.01,61.97,-1.0_GODHA
Godrej Agrovet,540743.0,GODREJAGRO,Food - Processing - Indian,687.0,678.0,301.14,-327.34,-327.62,23.04,26.72,52.87,594.7,874.02,-284.25,-594.41,-4.64,31.36,29.51,507.82,239.07,555.22,1299.6,1431.97,1661.33,2462.89,3637.34,-2361.92,-1739.58,-1253.55,-819.64,50.94,29.84,62.3,13208.29,540743.0_GODREJAGRO
Godrej Consumer,532424.0,GODREJCP,Personal Care - Indian,1382.75,2069.95,1793.39,-3363.03,1406.35,113.27,352.8,546.94,2158.31,2150.65,-1754.46,-794.31,-398.12,750.92,390.72,5405.05,8706.91,11639.89,14773.19,5671.17,9288.91,12741.11,16475.43,-10969.08,-6868.38,-6806.08,-5961.81,672.21,894.72,912.66,141430.5,532424.0_GODREJCP
Godrej Industrie,500164.0,GODREJIND,Chemicals,868.1,-4284.12,-5470.86,-2752.01,7218.63,182.5,1576.96,3509.66,-5150.37,-4409.38,1851.35,3534.62,976.59,600.37,2954.99,-12877.34,-14265.65,-12209.03,-13601.25,-10449.69,-10729.84,-7800.49,-8082.1,-11129.5,-10251.84,-7875.74,-854.39,852.15,944.73,234.93,29228.11,500164.0_GODREJIND
Godrej Propert.,533150.0,GODREJPROP,Construction,3184.5,-692.57,-1385.98,-2079.76,3257.95,485.62,714.81,2920.37,-3160.51,-2860.64,2564.15,832.22,535.73,179.08,2015.94,-5138.44,-6229.75,-4820.95,-5881.32,-4004.89,-4907.79,-3274.91,-4292.16,-6263.0,-6371.69,-4426.89,611.14,673.25,342.6,110.42,88547.21,533150.0_GODREJPROP
Goel Food,543538.0,__NA__,Food - Processing - Indian,178.15,6.78,6.39,0.41,-5.39,1.8,1.71,3.51,-3.76,-3.06,-0.35,2.95,-0.46,2.17,1.71,-9.68,-4.63,-4.44,-11.45,-8.56,-1.57,2.97,4.46,-12.04,-4.69,-0.76,0.21,1.62,0.35,0.52,67.17,543538.0___NA__
Goenka Business,538787.0,__NA__,Finance & Investments,7.74,-5.52,-5.52,0.0,0.0,-5.52,7.78,2.26,7.09,7.1,-0.01,0.0,7.1,0.69,7.78,-8.14,1.98,2.2,1.53,-8.11,2.07,2.29,1.79,-0.35,-0.07,-0.09,-0.03,10.4,0.27,0.03,10.06,538787.0___NA__
Goenka Diamond,533189.0,GOENKA,Diamond Cutting / Jewellery,0.97,0.1,0.1,0.0,-0.05,0.05,0.56,0.63,-0.98,-0.55,-0.43,0.37,-0.62,1.18,0.59,1.53,-0.29,-1.42,23.79,2.25,0.43,-0.7,24.51,3.23,1.06,-0.13,-0.72,0.41,0.5,0.44,30.75,533189.0_GOENKA
Gogia Capital,531600.0,__NA__,Finance & Investments,77.0,-1.48,-1.72,6.74,-0.28,4.98,3.87,8.86,-26.53,-26.25,12.59,-1.93,-15.58,19.46,3.87,-32.49,-28.36,-31.96,-35.56,-31.83,-27.23,-30.83,-34.06,14.33,13.67,10.5,9.05,41.37,35.39,17.14,48.67,531600.0___NA__
Gokak Textiles,532957.0,__NA__,Textiles - Cotton/Blended,156.3,13.26,13.38,7.0,-16.3,3.96,2.89,8.1,-4.38,-4.43,8.06,-4.23,-0.61,1.97,1.4,3.42,-6.98,-10.08,-3.19,1.68,-12.2,-16.03,-14.65,33.91,25.35,22.78,16.7,11.07,9.53,10.37,101.59,532957.0___NA__
Gokaldas Exports,532630.0,GOKEX,Textiles - Products,962.65,-177.06,-865.03,-537.42,753.23,38.76,14.72,127.34,242.38,368.82,-291.35,-75.43,2.04,12.68,23.99,-583.67,-408.24,-366.69,-174.67,308.96,526.27,602.55,764.75,-1039.05,-965.5,-951.87,-881.06,15.26,11.19,45.96,6851.67,532630.0_GOKEX
Gokul Agro,539725.0,GOKULAGRO,Solvent Extraction,168.05,355.39,37.36,-296.94,2.38,60.82,80.74,436.82,-189.55,19.86,-199.24,142.84,-36.54,117.28,331.61,-165.05,38.76,-3.16,,435.3,701.96,751.43,,,-664.88,-581.69,-541.86,233.68,121.5,238.28,2479.46,539725.0_GOKULAGRO
Gokul Refoils,532980.0,GOKUL,Solvent Extraction,39.4,55.59,42.97,16.8,-123.04,-50.66,106.99,72.87,62.64,92.02,-21.89,26.76,96.89,10.1,115.84,21.87,80.88,510.04,622.0,75.32,146.56,329.81,500.55,496.06,283.98,4.14,-12.47,66.35,58.32,135.57,390.05,532980.0_GOKUL
Goldcoin Health,538542.0,__NA__,Trading,7.74,-0.19,-0.19,0.0,0.19,0.0,0.0,0.0,-1.5,-1.02,0.14,0.88,0.0,0.01,0.0,-2.59,-2.64,-2.74,-2.42,-2.11,-2.16,-2.26,-2.31,-0.06,0.37,-0.17,-0.58,0.0,0.04,0.06,2.32,538542.0___NA__
Golden Carpets,531928.0,__NA__,Textiles - Products,13.0,0.35,0.2,-0.15,0.0,0.19,0.12,0.32,-0.13,-0.09,-0.04,0.0,-0.13,0.25,0.12,0.13,0.12,-0.43,-0.21,0.37,0.59,0.2,0.45,-0.66,-0.63,-0.47,-0.24,0.2,0.21,0.62,8.44,531928.0___NA__
Golden Crest,540062.0,__NA__,Miscellaneous,79.4,-0.09,-0.09,0.05,0.0,-0.04,0.15,0.11,0.03,0.03,0.06,0.0,0.09,0.06,0.15,-0.17,-0.24,-0.28,-0.54,-0.17,-0.24,-0.27,-0.41,0.44,0.26,0.27,0.17,0.12,0.07,0.11,41.65,540062.0___NA__
Golden Tobacco,500151.0,GOLDENTOBC,Construction,43.8,-0.15,0.07,0.39,0.0,0.24,0.92,3.3,21.63,20.75,5.86,-26.05,0.56,0.35,3.06,46.91,112.06,226.1,200.46,45.14,109.18,223.57,201.83,12.53,15.67,15.36,7.32,6.96,1.83,4.63,77.13,500151.0_GOLDENTOBC
Goldiam Intl.,526729.0,GOLDIAM,Diamond Cutting / Jewellery,161.2,107.01,103.42,-27.57,-53.52,25.92,118.87,144.8,56.08,65.17,-14.64,-31.12,19.41,86.59,105.99,146.37,248.47,315.99,398.53,162.41,278.8,350.24,437.62,24.2,33.0,16.99,52.78,91.6,63.6,13.47,1721.56,526729.0_GOLDIAM
Goldkart Jewels,-1.0,GOLDKART,Trading,99.1,1.63,1.61,-0.02,-1.35,0.25,0.3,0.3,4.47,4.81,-1.23,-3.65,-0.07,0.37,0.3,6.18,-4.25,-10.91,-7.28,6.59,-3.76,-10.42,-6.71,-1.45,-1.38,-1.38,-1.3,0.09,0.2,0.21,166.34,-1.0_GOLDKART
Goldline Intl.,538180.0,__NA__,Finance & Investments,0.72,1.23,1.23,-1.42,0.0,-0.2,0.32,0.12,1.9,1.9,-1.66,0.0,0.24,0.08,0.32,2.6,3.32,2.38,-1.34,2.5,3.22,2.28,-0.81,-7.9,-2.12,-3.13,-2.7,0.33,0.04,0.2,37.51,538180.0___NA__
Goldstar Power,-1.0,GOLDSTAR,Auto Ancillaries,14.5,7.99,3.45,-11.17,3.22,0.04,0.11,0.11,6.51,6.54,-0.54,-5.97,0.03,0.08,0.11,1.41,1.2,-1.53,12.09,13.6,13.93,14.51,28.61,-21.68,-21.07,-18.0,-19.15,2.66,0.1,0.47,349.03,-1.0_GOLDSTAR
Golech.Glob.Fin.,531360.0,__NA__,Finance & Investments,33.5,0.02,0.02,0.0,0.0,0.02,0.05,0.07,0.57,0.57,0.0,-0.55,0.02,0.03,0.05,0.61,0.61,0.64,1.15,0.61,0.61,0.64,1.15,-0.54,-0.37,0.0,0.0,0.02,0.01,0.35,18.43,531360.0___NA__
Golkonda Alumin.,513309.0,__NA__,Trading,15.5,-0.58,-0.58,0.05,0.0,-0.53,0.6,0.07,-0.43,-0.43,0.98,0.0,0.54,0.05,0.6,-1.36,-1.81,-2.05,0.26,-1.36,-1.81,-2.07,-8.22,7.55,1.92,1.11,1.23,0.2,0.78,0.25,8.17,513309.0___NA__
Golkunda Diamond,523676.0,__NA__,Diamond Cutting / Jewellery,176.0,5.24,2.76,-2.62,-4.61,-1.99,2.42,10.65,5.65,10.73,-5.1,-4.04,1.6,0.82,12.07,2.6,5.03,10.78,7.88,10.91,15.2,21.8,19.74,-5.44,-9.36,-11.22,-9.41,6.56,4.94,3.3,122.5,523676.0___NA__
Goodluck India,530655.0,GOODLUCK,Steel - Medium / Small,921.55,-45.93,-240.97,-186.19,336.51,104.4,0.36,210.79,-11.13,64.89,-78.14,13.34,0.08,0.28,11.8,-259.23,-211.62,-202.12,-200.09,96.71,197.87,327.94,490.01,-676.77,-514.33,-400.44,-348.9,10.48,16.54,12.41,2928.13,530655.0_GOODLUCK
Goodricke Group,500166.0,__NA__,Tea,195.95,-24.96,-43.24,-17.96,43.78,0.86,10.85,16.16,-7.68,9.87,-18.21,9.94,1.6,9.25,15.65,0.1,12.42,-29.3,37.05,52.31,110.31,173.58,324.19,-280.31,-187.31,-95.06,-49.67,17.63,14.61,18.88,423.27,500166.0___NA__
